assembly_accession	species	subsp	strain
GCF_017724115.1	Acinetobacter baumannii		KSK7
GCF_017724155.1	Acinetobacter baumannii		KSK10
GCF_017724195.1	Acinetobacter baumannii		KSK11
GCF_017724215.1	Acinetobacter baumannii		KSK18
GCF_017726495.1	Acinetobacter baumannii		KSK19
GCF_017726555.1	Acinetobacter baumannii		KSK20
GCF_017726575.1	Acinetobacter baumannii		KSK Sensitive
GCF_017742855.1	Acinetobacter baumannii		KSK2
GCF_017753625.1	Acinetobacter baumannii		DETAB-E227
GCF_018135585.1	Acinetobacter baumannii		DETAB-P39
GCF_018454385.1	Acinetobacter baumannii		DD520
GCF_018604365.1	Acinetobacter baumannii		Cl415
GCF_900088705.1	Acinetobacter baumannii		BAL062
GCF_900093475.1	Acinetobacter baumannii		NCTC7364
GCF_900478145.1	Acinetobacter baumannii		NCTC13421
GCF_004794235.2	Acinetobacter baumannii		ATCC 17978 substr. Lab-WT
GCF_004794275.2	Acinetobacter baumannii		ATCC 17978 substr. PMR-Low
GCF_004797155.2	Acinetobacter baumannii		ATCC 17978 substr. PMR-High
GCF_013372085.1	Acinetobacter baumannii		ATCC 17978
GCF_000018445.1	Acinetobacter baumannii		ACICU
GCF_005519135.1	Acinetobacter baumannii		ACICU
GCF_000021245.2	Acinetobacter baumannii		AB0057
GCF_000226275.2	Acinetobacter baumannii		MDR-ZJ06
GCF_000069245.1	Acinetobacter baumannii		AYE
GCF_002803025.2	Acinetobacter baumannii		AB307-0294
GCF_000187205.2	Acinetobacter baumannii		MDR-TJ
GCF_000186665.3	Acinetobacter baumannii		D1279779
GCF_000419385.1	Acinetobacter baumannii		BJAB07104
GCF_000419405.1	Acinetobacter baumannii		BJAB0715
GCF_000419425.1	Acinetobacter baumannii		BJAB0868
GCF_000302575.1	Acinetobacter baumannii		TYTH-1
GCF_000498375.2	Acinetobacter baumannii		DU202
GCF_000505685.1	Acinetobacter baumannii		ZW85-1
GCF_000828795.1	Acinetobacter baumannii		NCGM 237
GCF_000576535.1	Acinetobacter baumannii		PKAB07
