assembly_accession	species	subsp	strain
GCF_017948225.1	Bacillus velezensis		VY03
GCF_018223705.1	Bacillus velezensis		Y816
GCF_018398955.1	Bacillus velezensis		VTX9
GCF_018406485.1	Bacillus velezensis		KOF112
GCF_018415955.1	Bacillus velezensis		VTX20
GCF_000283695.1	Bacillus velezensis		CAU B946
GCF_000341875.1	Bacillus velezensis		UCMB5036
GCF_000455585.1	Bacillus velezensis		UCMB5113
GCF_000284395.1	Bacillus velezensis		YAU B9601-Y2
GCF_000319475.1	Bacillus velezensis		AS43.3
GCF_000455565.1	Bacillus velezensis		UCMB5033 UCMB-5033
GCF_000493375.1	Bacillus velezensis		NAU-B3
GCF_000583065.1	Bacillus velezensis		TrigoCor1448
GCF_000973585.1	Bacillus velezensis		NJN-6
