assembly_accession	species	subsp	strain
GCF_007843915.1	Helicobacter pylori		B140
GCF_007844055.1	Helicobacter pylori		B130A
GCF_008027235.1	Helicobacter pylori		C-Mx-2010-5
GCF_008027395.1	Helicobacter pylori		C-Mx-2010-3
GCF_008032975.1	Helicobacter pylori		G-Mx-2006-152
GCF_008033015.1	Helicobacter pylori		G-Mx-2005-108
GCF_008281125.1	Helicobacter pylori		C-Mx-2010-12
GCF_008326525.1	Helicobacter pylori		TN2wt
GCF_010917155.1	Helicobacter pylori		GCT 27
GCF_013122035.1	Helicobacter pylori		HP9192
GCF_013122055.1	Helicobacter pylori		HP1352
GCF_013122115.1	Helicobacter pylori		HPY
GCF_016748175.1	Helicobacter pylori		ASHA-003
GCF_016748415.1	Helicobacter pylori		ASHA-005
GCF_016748555.1	Helicobacter pylori		LIM-010
GCF_016748675.1	Helicobacter pylori		LIM-009
GCF_016748925.1	Helicobacter pylori		LIM-007
GCF_016749215.1	Helicobacter pylori		LIM-003
GCF_016749335.1	Helicobacter pylori		LIM-001
GCF_016749575.1	Helicobacter pylori		PUNO-009
GCF_016749715.1	Helicobacter pylori		PUNO-008
GCF_016749815.1	Helicobacter pylori		PUNO-007
GCF_016755635.1	Helicobacter pylori		PUNO-003
GCF_016755655.1	Helicobacter pylori		PUNO-002
GCF_016755675.1	Helicobacter pylori		PUNO-001
GCF_016755715.1	Helicobacter pylori		SHIM-007
GCF_016755735.1	Helicobacter pylori		SHIM-002
GCF_016755775.1	Helicobacter pylori		ASHA-009
GCF_016755815.1	Helicobacter pylori		ASHA-006
GCF_016757555.1	Helicobacter pylori		PUNO-006
GCF_016757575.1	Helicobacter pylori		SHIM-011
GCF_016757595.1	Helicobacter pylori		SHIM-010
GCF_017821535.1	Helicobacter pylori		MT5135
GCF_017821595.1	Helicobacter pylori		MT5114
GCF_017821635.1	Helicobacter pylori		MT5124
GCF_900119955.1	Helicobacter pylori		HE171/09
GCF_900119995.1	Helicobacter pylori		HE143/09
GCF_900120055.1	Helicobacter pylori		HE178/09
GCF_900120135.1	Helicobacter pylori		HE132/09
GCF_900120185.1	Helicobacter pylori		HE134/09
GCF_900120205.1	Helicobacter pylori		HE141/09
GCF_900120225.1	Helicobacter pylori		HE136/09
GCF_900120255.1	Helicobacter pylori		HE101/09
GCF_900120275.1	Helicobacter pylori		HE142/09
GCF_900120315.1	Helicobacter pylori		HE170/09
GCF_900120335.1	Helicobacter pylori		HE147/09
GCF_900149805.1	Helicobacter pylori		BCM-300
GCF_900176185.1	Helicobacter pylori		HE93/10_v1
GCF_902381665.1	Helicobacter pylori		MGYG-HGUT-01357
GCF_000008525.1	Helicobacter pylori		26695
GCF_000307795.1	Helicobacter pylori		26695
GCF_000008785.1	Helicobacter pylori		J99
GCF_000270045.1	Helicobacter pylori		F32
GCF_000685625.1	Helicobacter pylori		J166
GCF_900478295.1	Helicobacter pylori		NCTC 11637 = CCUG 17874 = ATCC 43504
GCF_000021165.1	Helicobacter pylori		G27
GCF_000178935.2	Helicobacter pylori		35A
GCF_000023805.1	Helicobacter pylori		52
GCF_000148875.1	Helicobacter pylori		PeCan4
GCF_000148895.1	Helicobacter pylori		Cuz20
GCF_000270005.1	Helicobacter pylori		F16
GCF_000270025.1	Helicobacter pylori		F30
GCF_000270065.1	Helicobacter pylori		F57
GCF_000185225.1	Helicobacter pylori		Lithuania75
GCF_000185185.1	Helicobacter pylori		India7
GCF_000185245.1	Helicobacter pylori		SouthAfrica7
GCF_000185205.1	Helicobacter pylori		Gambia94/24
GCF_000224535.1	Helicobacter pylori		Puno120
GCF_000224555.1	Helicobacter pylori		Puno135
GCF_000224575.1	Helicobacter pylori		SNT49 Santal49
GCF_000315955.1	Helicobacter pylori		Aklavik117
GCF_000277365.1	Helicobacter pylori		Shi417
GCF_000277405.1	Helicobacter pylori		Shi112
GCF_000333835.2	Helicobacter pylori		A45
GCF_000307815.1	Helicobacter pylori		Rif1
GCF_000307835.1	Helicobacter pylori		Rif2
GCF_000348865.1	Helicobacter pylori		OK113
GCF_000348885.1	Helicobacter pylori		OK310
GCF_000392455.3	Helicobacter pylori		UM032
GCF_000392475.3	Helicobacter pylori		UM299
GCF_000392535.3	Helicobacter pylori		UM066
GCF_000439295.2	Helicobacter pylori		UM298
GCF_000600045.1	Helicobacter pylori		oki102
GCF_000600085.1	Helicobacter pylori		oki112
GCF_000600145.1	Helicobacter pylori		oki154
GCF_000600165.1	Helicobacter pylori		oki422
GCF_000600185.1	Helicobacter pylori		oki673
GCF_000600205.1	Helicobacter pylori		oki828
GCF_000600225.1	Helicobacter pylori		oki898
GCF_000826985.1	Helicobacter pylori		26695-1
GCF_000829095.1	Helicobacter pylori		26695-1
GCF_000829115.1	Helicobacter pylori		26695-1CL
GCF_000829135.1	Helicobacter pylori		26695-1CH
GCF_000828955.1	Helicobacter pylori		NY40
GCF_001991095.1	Helicobacter pylori		PMSS1
